@RELATION games-disc
@ATTRIBUTE recommendationCount {lower, low, medium, prehigh, high}
@ATTRIBUTE numberOfOwners {lower, low, medium, prehigh, high}
@ATTRIBUTE isFree {no, yes}
@ATTRIBUTE categorySinglePlayer {no, yes}
@ATTRIBUTE categoryMultiplayer {no, yes}
@ATTRIBUTE categoryCoop {no, yes}
@ATTRIBUTE categoryMMO {no, yes}
@ATTRIBUTE categoryInAppPurchase {no, yes}
@ATTRIBUTE categoryIncludesLevelEditor {no, yes}
@ATTRIBUTE categoryVrSupport {no, yes}
@ATTRIBUTE genreIsNongame {no, yes}
@ATTRIBUTE genreIsIndie {no, yes}
@ATTRIBUTE genreIsAction {no, yes}
@ATTRIBUTE genreIsAdventure {no, yes}
@ATTRIBUTE genreIsCasual {no, yes}
@ATTRIBUTE genreIsStrategy {no, yes}
@ATTRIBUTE genreIsRPG {no, yes}
@ATTRIBUTE genreIsSimulation {no, yes}
@ATTRIBUTE genreIsEarlyAccess {no, yes}
@ATTRIBUTE genreIsFreeToPlay {no, yes}
@ATTRIBUTE genreIsSports {no, yes}
@ATTRIBUTE genreIsRacing {no, yes}
@ATTRIBUTE genreIsMMO {no, yes}
@ATTRIBUTE priceInitial {Below_$4.99, $4.99-$9.98, $9.99-$19.99, $20-$49.99, Above_$50}
@ATTRIBUTE priceFinal {Below_$4.99, $4.99-$9.98, $9.99-$19.99, $20-$49.99, Above_$50}


@DATA
low,high,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
low,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
high,high,yes,no,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,lower,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,medium,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
medium,high,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
low,high,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
low,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
medium,high,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,lower,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,lower,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
medium,high,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
medium,high,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,lower,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,low,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
medium,high,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
medium,high,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
medium,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
medium,high,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
low,high,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
prehigh,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,medium,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,medium,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
low,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
low,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
low,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
low,prehigh,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
low,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
low,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
medium,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
low,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
low,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
medium,high,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,medium,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,lower,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
low,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
medium,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
low,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
prehigh,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
low,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
low,prehigh,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
medium,high,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,medium,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,$20-$49.99,$20-$49.99
low,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
low,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
low,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
prehigh,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,lower,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
medium,prehigh,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,$20-$49.99,$20-$49.99
low,high,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,Below_$4.99,Below_$4.99
lower,lower,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,$4.99-$9.98,$4.99-$9.98
lower,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
medium,high,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
high,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
high,high,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,medium,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
prehigh,high,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
low,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Below_$4.99,Below_$4.99
low,prehigh,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
lower,prehigh,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$4.99-$9.98,$4.99-$9.98
medium,high,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
medium,high,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,lower,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,high,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
low,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,lower,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$20-$49.99,$20-$49.99
medium,high,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,prehigh,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
lower,medium,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,$9.99-$19.99,$9.99-$19.99
